age,birth_year,cause_of_death,death_year,famous_for,name,nationality,fame_score,age_category,fame_tune,wiki_length
22,1994,shot,2016, singer-songwriter (Find Me) and talent show participant (The Voice),Christina Grimmie,American,87,young,singer,87
22,1987,car accident,2009, baseball pitcher (Los Angeles Angels of Anaheim),Nick Adenhart,American,73,young,baseball pitcher,73
22,1986,shot,2008, student leader (UNC Chapel Hill),Eve Carson,American,42,young,student leader,42
24,1991,shot,2015, news reporter (WDBJ),Alison Parker,American,93,young,news reporter,93
24,1983,homicide by gunshot,2007, football player (Washington Redskins),Sean Taylor,American,64,young,football player,64
25,1987,suicide,2012, football player (Kansas City Chiefs),Jovan Belcher,American,57,young,football player,57
26,1981,accidental combined drug intoxication,2007, guitarist (Hawthorne Heights),Casey Calvert,American,86,young,guitarist,86
26,1989,ISIS hostage,2015, activist humanitarian aid worker,Kayla Mueller,American,40,young,activist humanitarian aid worker,40
26,1983,blunt force trauma after fall from vehicle,2009, football player (Cincinnati Bengals),Chris Henry,American,34,young,football player,34
27,1988,shot,2015, news cameraman (WDBJ) and photojournalist,Adam Ward,American,93,young,news cameraman  and photojournalist,93
27,1981,suicide,2008, mass murderer (Northern Illinois University shooting),Steven Kazmierczak,American,75,young,mass murderer,75
28,1988,shot,2016, football player (New York Jets),Joe McKnight,American,51,young,football player,51
29,1987,shot,2016, mass murderer (2016 Orlando nightclub shooting),Omar Mateen,American,125,young,mass murderer,125
29,1986,multiple organ failure,2015, baseball player (Atlanta Braves Los Angeles Angels),Tommy Hanson,American,57,young,baseball player,57
29,1984,shot,2013, Islamist,Abu Mansoor Al-Amriki,American,32,young,islamist,32
31,1983,beheading,2014, journalist (Time),Steven Sotloff,American,108,adult,journalist,108
32,1977,pneumonia,2009, actress (Clueless King of the Hill 8 Mile),Brittany Murphy,American,56,adult,actress,56
33,1977,motorcycle collision,2010, baseball player (Houston Astros Cleveland Indians),Jeriome Robertson,American,35,adult,baseball player,35
36,1973,suspected drug overdose,2009, club disc jockey and musician (Crazy Town),Adam Goldstein,American,54,adult,club disc jockey and musician,54
36,1973,shot,2009, football player (Tennessee Titans Baltimore Ravens),Steve McNair,American,44,adult,football player,44
37,1976,suicide,2013, country music singer (Ten Thousand Angels),Mindy McCready,American,54,adult,singer,54
40,1974,beheading,2014, photojournalist,James Foley,American,84,adult,photojournalist,84
40,1973,traffic collision,2013, actor (The Fast and the Furious Pleasantville Joy Ride),Paul Walker,American,74,adult,actor,74
40,1976,traffic collision,2016, hip-hop musician (D4L),Shawty Lo,American,43,adult,hip-hop musician,43
41,1974,shot,2015, politician and pastor member of the South Carolina House of Representatives (1997â€“2000) and Senate (since 2000),Clementa C. Pinckney,American,71,adult,politician,71
41,1970,stroke,2011, actor and comedian (Web Junk 20 The Opie and Anthony Show),Patrice O'Neal,American,52,adult,actor,52
41,1975,traffic collision,2016, audio engineer and video game developer (Adaptation The Walking Dead BrÃ_tal Legend),Jory Prum,American,44,adult,audio engineer and video game developer,44
42,1968,intracranial hemorrhage,2010, actor (Diff'rent Strokes),Gary Coleman,American,72,adult,actor,72
43,1969,suicide,2012, football player (San Diego Chargers Miami Dolphins New England Patriots),Junior Seau,American,72,adult,football player,72
44,1972,unknown,2016, professional wrestler (ECW WWE SMW),Balls Mahoney,American,75,adult,professional wrestler,75
44,1966,accidental prescription drug overdose,2010, comedian (Friday Night Stand-Up with Greg Giraldo),Greg Giraldo,American,63,adult,comedian,63
44,1969,multiple organ failure,2013, heavyweight champion boxer (WBO) and actor (Rocky V),Tommy Morrison,American,43,adult,actor,43
44,1971,shot,2015, police officer and junior ice dancing champion (1992),Garrett Swasey,American,35,adult,police officer and junior ice dancing champion,35
45,1961,stroke,2006, baseball player (Minnesota Twins) and member of the MLB Hall of Fame,Kirby Puckett,American,36,adult,baseball player  and member of the mlb hall of fame,36
46,1968,mixed drug intoxication,2014, actor (Capote Magnolia Doubt) Oscar winner (2006),Philip Seymour Hoffman,American,164,adult,actor,164
46,1970,unknown,2016, Cougar Club),Chyna,American,134,adult,cougar club),134
46,1962,suicide,2008, author and essayist (Infinite Jest),David Foster Wallace,American,69,adult,author and essayist,69
47,1961,cancer,2008, computer science professor (Carnegie Mellon) and author (The Last Lecture),Randy Pausch,American,51,adult,computer science professor  and author (the last lecture),51
47,1965,cancer,2012, musician (Beastie Boys) and film director (Gunnin' for That No. 1 Spot),Adam Yauch,American,33,adult,musician  and film director (gunnin' for that no. 1 spot),33
48,1964,accidental drowning,2012," singer (""I Will Always Love You"") and actress (The Bodyguard)",Whitney Houston,American,381,adult,actress,381
48,1967,accidental drug and alcohol overdose,2015, musician (Stone Temple Pilots Velvet Revolver The Wondergirls),Scott Weiland,American,114,adult,musician,114
48,1962,heart disease,2010, rock singer and bassist (Type O Negative),Peter Steele,American,77,adult,singer,77
48,1961,executed by lethal injection,2009, convicted spree killer (Beltway Sniper),John Allen Muhammad,American,35,adult,convicted spree killer,35
49,1967,unknown,2016, radio show personality (The Howard Stern Show),Joey Boots,American,117,adult,radio show personality,117
49,1966,cancer,2015, sports journalist (SportsCenter),Stuart Scott,American,65,adult,sports journalist,65
49,1964,liver failure,2013, guitarist (Slayer),Jeff Hanneman,American,36,adult,guitarist,36
50,1959,acute propofol intoxication,2009," pop singerâ€“songwriter (""Thriller"" ""Billie Jean"") and actor (The Wiz)",Michael Jackson,American,466,adult,actor,466
50,1965,shot,2015, baseball player (Milwaukee Brewers San Francisco Giants New York Mets),Darryl Hamilton,American,45,adult,baseball player,45
50,1959,heart disease,2009, pitchman and television host (Pitchmen),Billy Mays,American,39,adult,pitchman and television host,39
51,1960,infective endocarditis,2011, politician U.S. Representative from New Jersey (2009â€“2011),John Adler,American,53,adult,politician,53
51,1962,heart disease,2013, actor (The Sopranos In the Loop Crimson Tide),James Gandolfini,American,42,adult,actor,42
52,1964,frontal lobe dementia,2016, musician (Beastie Boys),John Berry,American,72,adult,musician,72
52,1964,cancer,2016, educator president of Cornell University (since 2015),Elizabeth Garrett,American,45,adult,educator president of cornell university,45
53,1960,unknown,2013, singer-songwriter and musician (Game Theory Loud Family)[260],Scott Miller,American,87,adult,singer,87
54,1960,cancer,2014, Hall of Fame baseball player (San Diego Padres),Tony Gwynn,American,259,adult,hall of fame baseball player,259
54,1960,heart disease,2014, Hall of Fame professional wrestler (WWE),The Ultimate Warrior,American,118,adult,hall of fame professional wrestler,118
56,1953,heart disease,2009, pornographic film actress (Behind the Green Door) erotic dancer and politician,Marilyn Chambers,American,56,adult,politician,56
57,1959,accidental overdose of fentanyl,2016," musician songwriter (""Purple Rain"" ""Little Red Corvette"") and actor Oscar (1984) and Grammy (1984 1986 2004 2007) winner",Prince,American,293,adult,actor,293
